,timestamp,trans_vel,rot_vel,tf_pose_x,tf_pose_y,tf_pose_theta,min_obstacle_dist
0,1692859202453074455,,,,,,
1,1692859203453074455,,,,,,
2,1692859204453074455,,,,,,
3,1692859205453074455,,,,,,
4,1692859206453074455,,,,,,
5,1692859207453074455,,,,,,
6,1692859208453074455,,,,,,
7,1692859209453074455,,,,,,
8,1692859210453074455,,,,,,
9,1692859211453074455,,,,,,
10,1692859212453074455,,,,,,
11,1692859213453074455,,,,,,
12,1692859214453074455,,,,,,
13,1692859215453074455,,,,,,
14,1692859216453074455,,,,,,
15,1692859217453074455,,,,,,
16,1692859218453074455,,,,,,
17,1692859219453074455,,,,,,
18,1692859220453074455,,,,,,
19,1692859221453074455,,,,,,
20,1692859222453074455,,,,,,
21,1692859223453074455,,,,,,
22,1692859224453074455,,,,,,
23,1692859225453074455,,,,,,
24,1692859226453074455,,,,,,
25,1692859227453074455,,,,,,
26,1692859228453074455,,,,,,
27,1692859229453074455,,,,,,
28,1692859230453074455,,,,,,
29,1692859231453074455,,,,,,
30,1692859232453074455,,,,,,
31,1692859233453074455,,,,,,
32,1692859234453074455,,,,,,
33,1692859235453074455,,,,,,
34,1692859236453074455,,,,,,
35,1692859237453074455,,,,,,
36,1692859238453074455,,,,,,
37,1692859239453074455,,,,,,
38,1692859240453074455,,,,,,
39,1692859241453074455,,,,,,
40,1692859242453074455,,,,,,
41,1692859243453074455,,,,,,
42,1692859244453074455,,,,,,
43,1692859245453074455,,,,,,
44,1692859246453074455,,,,,,
45,1692859247453074455,,,,,,
46,1692859248453074455,,,,,,
47,1692859249453074455,,,,,,
48,1692859250453074455,,,,,,
49,1692859251453074455,,,,,,
50,1692859252453074455,,,,,,
51,1692859253453074455,,,,,,
52,1692859254453074455,,,,,,
53,1692859255453074455,,,,,,
54,1692859256453074455,,,,,,
55,1692859257453074455,,,,,,
56,1692859258453074455,,,,,,
57,1692859259453074455,,,,,,
58,1692859260453074455,,,,,,
59,1692859261453074455,,,,,,
60,1692859262453074455,,,,,,
61,1692859263453074455,,,,,,
62,1692859264453074455,,,,,,
63,1692859265453074455,,,,,,
64,1692859266453074455,,,,,,
65,1692859267453074455,,,,,,
66,1692859268453074455,,,,,,
67,1692859269453074455,,,,,,
68,1692859270453074455,,,,,,
69,1692859271453074455,,,,,,
70,1692859272453074455,,,,,,
71,1692859273453074455,,,,,,
72,1692859274453074455,,,,,,
73,1692859275453074455,,,,,,
74,1692859276453074455,,,,,,
75,1692859277453074455,,,,,,
76,1692859278453074455,,,,,,
77,1692859279453074455,,,,,,
78,1692859280453074455,,,,,,
79,1692859281453074455,,,,,,
80,1692859282453074455,,,,,,
81,1692859283453074455,,,,,,
82,1692859284453074455,,,,,,
83,1692859285453074455,,,,,,
84,1692859286453074455,,,,,,
85,1692859287453074455,,,,,,
